Repacking Date,Month,Week,WH,Raw material Code,Raw Des,Procesisng Type,Rpin,Container Number,Pallets Number,Count of Cartons/Bins,Total Bin Weight KG,Shrinkage Kgs,Shrinkage %,FG Code,FG Des,Units/carton,FG Specification,Carton/Pallet,FG Pallets,FG Carton,FG Unit,FG Weight,FG Standard Weight,Overweight KG,Defects KG,Rotted KG,Defect rate,Labor cost,FG Sample,Puntures,The Rate of Spoilted ,Bruise,The Rate of Cosmetic,JA Sample,Export Fruit,The Rate of Export Fruit,Remark,Processing Number,Juice Apple(KG),The Rate of Overweight KG,The Rate of Juice Apple(KG),Packout,Arrival Date,Arrival Date&Container Number,Container&RPIN,Month,DATE,Date&Rpin,Standard weight
30/03/2025,3,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R1230,MNBU4561092,"00394219037825015922
00394219037825015977
00394219037825016264
00394219037825016318
00394219037825016387
00394219037825020322",15,5142KG,-258KG,-0.050175029KG,ROC144916165140,Large Family Pack,9,9??,44,6.818181818,300,2700,3769KG,1.082KG,847.6KG,884KG,21Kg,0.34084014Kg,5520,150,,,,,,,,,,905,16.48%,17.60%,65.92%,250325,250325MNBU4561092,MNBU4561092R1230,3,250330,250330R1230,9.738
30/03/2025,3,14,SH,ROC25312280140253,Juice Apple(to check),Repacking,R1230,MNBU4561092,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,0.78125,50,650,468KG,0KG,468KG,0KG,0Kg,,892,,,,,,,,,,,0,,,100.00%,250325,250325MNBU4561092,MNBU4561092R1230,3,250330,250330R1230,0
31/03/2025,3,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2775,MNBU4561092,"00394219037825019708
00394219037825019739
00394219037825020322",8,2746KG,-134KG,-0.048798252KG,ROC144916165140,Large Family Pack,9,9??,44,4.409090909,194,1746,2112KG,1.082KG,222.828KG,341KG,12Kg,0.209697014Kg,3197,100,,,,,,,,,,353,8.11%,12.86%,79.03%,250325,250325MNBU4561092,MNBU4561092R2775,3,250331,250331R2775,9.738
31/03/2025,3,14,SH,ROC25312280140253,Juice Apple(to check),Repacking,R2775,MNBU4561092,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,0.421875,27,351,281KG,0KG,281KG,0KG,0Kg,,892,,,,,,,,,,,0,,,100.00%,250325,250325MNBU4561092,MNBU4561092R2775,3,250331,250331R2775,0
1/04/2025,4,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2886,MNBU4561092,00394219037825018169,3,1030KG,-50KG,-0.048543689KG,ROC144916165140,Large Family Pack,9,9??,44,1.886363636,83,747,783KG,1.082KG,0KG,241KG,6Kg,0.239805825Kg,1127,50,,,,,,,,,,247,0.00%,23.98%,76.02%,250325,250325MNBU4561092,MNBU4561092R2886,4,250401,250401R2886,9.738
2/04/2025,4,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2900,MNBU4561092,"00394219037825014604
00394219037825015168",7,2405KG,-115KG,-0.047817048KG,ROC144916165140,Large Family Pack,9,9??,44,4.409090909,194,1746,1816KG,1.082KG,0KG,580KG,9Kg,0.244906445Kg,2622,100,,,,,,,,,,589,0.00%,24.49%,75.51%,250325,250325MNBU4561092,MNBU4561092R2900,4,250402,250402R2900,9.738
3/04/2025,4,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2919,MNBU4561092,00394219037825018916,3,1025KG,-55KG,-0.053658537KG,ROC144916165140,Large Family Pack,9,9??,44,1.863636364,82,738,766KG,1.082KG,0KG,252KG,7Kg,0.252682927Kg,1127,50,,,,,,,,,,259,0.00%,25.27%,74.73%,250325,250325MNBU4561092,MNBU4561092R2919,4,250403,250403R2919,9.738
3/04/2025,4,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2929,MNBU4561092,"00394219037825018510
00394219037825018671
00394219037825018756
00394219037825018824
00394219037825019203",13,4463KG,-217KG,-0.048622003KG,ROC144916165140,Large Family Pack,9,9??,44,7.318181818,322,2898,3267KG,1.082KG,131.364KG,810KG,32Kg,0.218096348Kg,5083,180,,,,,,,,,,842,2.94%,18.87%,78.19%,250325,250325MNBU4561092,MNBU4561092R2929,4,250403,250403R2929,9.738
3/04/2025,4,14,SH,ROC25312280140253,Juice Apple(to check),Repacking,,MNBU4561092,,,,0KG,,JWM 650g,JWM 650G,13,13??,64,0.53125,34,442,354KG,0KG,354KG,0KG,0Kg,,395,,,,,,,,,,,0,,,100.00%,250325,250325MNBU4561092,MNBU4561092,4,250403,250403,0
3/04/2025,4,14,SH,ROC25312280140253,Small Family Pack Bin (140/0M),Repacking,R2936,MNBU4561092,00394219037825019203,2,688KG,-32KG,-0.046511628KG,ROC144916165140,Large Family Pack,9,9??,44,1.272727273,56,504,480KG,1.082KG,0KG,203KG,5Kg,0.302325581Kg,759,50,,,,,,,,,,208,0.00%,30.23%,69.77%,250325,250325MNBU4561092,MNBU4561092R2936,4,250403,250403R2936,9.738
20/03/2025,3,12,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,"‘00394198062500164068
00394198062500164075
00394198062500166154
00394198062500166871
00394198062500174883
00394198062500174951
00394198062500176696
00394198062500176740
00394198062500178317",27,9318KG,-402KG,-0.043142305KG,ROC08016563117,63/5t,16,5,112,9,1008,16128,7452.4KG,0.44KG,356.08KG,1809.6KG,56Kg,0.238428847Kg,"6,670.00",500,,,,,,,,,,1865.6,3.82%,20.02%,76.16%,250320,250320FBIU5664660,FBIU5664660R2919,3,250320,250320R2919,7.04
21/03/2025,3,12,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,"‘00394198062500173756
00394198062500178249",6,2072KG,-88KG,-0.042471042KG,ROC08016563117,63/5t,16,5,112,1.991071429,223,3568,1663KG,0.44KG,93.08KG,398KG,11Kg,0.242316602Kg,"2,116.00",100,,,,,,,,,,409,4.49%,19.74%,75.77%,250320,250320FBIU5664660,FBIU5664660R2919,3,250321,250321R2919,7.04
23/03/2025,3,13,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,"’00394198062500174890
00394198062500178508",6,2078KG,-82KG,-0.03946102KG,,63/3,16,3,176,2.079545455,366,5856,1640KG,0.26375KG,95.48KG,425KG,13Kg,0.256727623Kg,"2,162.00",120,,,,,,,,,,438,4.59%,21.08%,74.33%,250320,250320FBIU5664660,FBIU5664660R2919,3,250323,250323R2919,4.22
24/03/2025,3,13,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,"‘00394198062500173732
00394198062500178331",6,2065KG,-95KG,-0.046004843KG,,63/3,16,3,176,2.045454545,360,5760,1619KG,0.26375KG,99.8KG,432KG,14Kg,0.264309927Kg,"2,208.00",160,,,,,,,,,,446,4.83%,21.60%,73.57%,250320,250320FBIU5664660,FBIU5664660R2919,3,250324,250324R2919,4.22
27/03/2025,3,13,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,"’00394198062500178195
00394198062500178324
00394198062500178348",9,3103KG,-137KG,-0.044150822KG,,63/3,16,3,176,3.068181818,540,8640,2439KG,0.26375KG,160.2KG,644KG,20Kg,0.265613922Kg,"3,082.00",180,,,,,,,,,,664,5.16%,21.40%,73.44%,250320,250320FBIU5664660,FBIU5664660R2919,3,250327,250327R2919,4.22
27/03/2025,3,13,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R1230,FBIU5664660,00394198062500154991,3,1036KG,-44KG,-0.042471042KG,,63/3,16,3,176,1.022727273,180,2880,763KG,0.26375KG,3.4KG,255KG,18Kg,0.266795367Kg,"1,035.00",50,,,,,,,,,,273,0.33%,26.35%,73.32%,250320,250320FBIU5664660,FBIU5664660R1230,3,250327,250327R1230,4.22
2/04/2025,4,14,SZ,ROC117818563117,Rockit Apple 63mm Export Bins (63/5W),Repacking,R2919,FBIU5664660,‘00394198062500166017,3,1032KG,-48KG,-0.046511628KG,ROC08016563117,63/5,16,5,128,0.9765625,125,2000,772KG,0.389KG,0KG,243KG,17Kg,0.251937984Kg,"3,105.00",80,,,,,,,,,,260,0.00%,25.19%,74.81%,250320,250320FBIU5664660,FBIU5664660R2919,4,250402,250402R2919,6.224
23/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2710,MNBU4089284,"00394198062500123089
'00394198062500122426
00394198062500123058",6,2072,-88,-0.042471042,ROC144916165140,Large Family Pack,9,9??,44,3.454545455,152,1368,1557KG,1.082KG,76.824KG,502,13,0.285629344,"3,680.00",120,,,,,,,,,,515,3.71%,24.86%,71.44%,250320,250320MNBU4089284,MNBU4089284R2710,3,250323,250323R2710,9.738
23/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2925,MNBU4089284,00394198062500123058,1,343,-17,-0.049562682,ROC144916165140,Large Family Pack,9,9??,44,0.590909091,26,234,255KG,1.082KG,1.812KG,85,3,0.261842566,,80,,,,,,,,,,88,0.53%,25.66%,73.82%,250320,250320MNBU4089284,MNBU4089284R2925,3,250323,250323R2925,9.738
23/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R1149,MNBU4089284,00394198062500116593,3,1032,-48,-0.046511628,ROC144916165140,Large Family Pack,9,9??,44,1.704545455,75,675,772KG,1.082KG,41.65KG,253,7,0.292296512,,80,,,,,,,,,,260,4.04%,25.19%,70.77%,250320,250320MNBU4089284,MNBU4089284R1149,3,250323,250323R1149,9.738
24/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R1149,MNBU4089284,"00394198062500116104
'00394198062500115756
'00394198062500120750",7,2416,-104,-0.043046358,ROC144916165140,Large Family Pack,9,9??,44,3.818181818,168,1512,1832KG,1.082KG,196.016KG,565,19,0,"10,925.00",200,,,,,,,,,,584,8.11%,24.17%,67.71%,250320,250320MNBU4089284,MNBU4089284R1149,3,250324,250324R1149,9.738
24/03/2025,3,13,SH,ROC14033300140,Large Family Pack bins (0/0M),Repacking,R2925,MNBU4089284,"00394198062500115756
'00394198062500120668
'00394198062500120682
'00394198062500120651
'00394198062500123089",13,4483,-197,-0.043943788,ROC144916165140,Large Family Pack,9,9??,44,5.227272727,230,2070,3417KG,1.082KG,1177.26KG,1028,38,1,,200,,,,,,,,,,1066,26.26%,23.78%,49.96%,250320,250320MNBU4089284,MNBU4089284R2925,3,250324,250324R2925,9.738
24/03/2025,3,13,SH,ROC195923063195,Rockit Apple 63mm Export Bin (63/0W),Repacking,R2925,MNBU4089284,,,1256KG,1256KG,1KG,ROC08016563195,63/5,16,63/5*16,128,1.5625,200,3200,1256,0.389KG,11.2KG,0,0,0,,50,,,,,,,,,,0,0.89%,0.00%,99.11%,250320,250320MNBU4089284,MNBU4089284R2925,3,250324,250324R2925,6.224
